Year          Kazakhstan     Kyrgyz_Republic          Tajikistan        Turkmenistan          Uzbekistan
2000               696.3              3036.5              3299.4                97.6               334.8
2001               572.6              2435.7              2995.7                23.9               297.8
2002               577.0              2477.2              3413.1                72.9               184.4
2003               578.4              2568.1              3903.4                78.9               270.7
2004               499.4              2584.6              4372.4               111.6               277.4
2005               497.2              2435.3              3482.3                94.8               287.5
2006               391.4              1891.1              2848.9                78.0               284.5
2007               381.4              1771.9              2560.6                97.9               251.0
2008               431.8              1735.3              2209.1                61.6               307.9
2009               736.7              3929.5              4620.9                60.0               291.6
2010               500.9              2710.5              4302.1                60.6               284.8
2011               499.4              2267.7              2541.0                67.5               231.3
2012               401.5              2002.8              3673.0                63.8               220.8
2013               505.6              1854.9              2802.2                24.7               229.1
2014               374.3              1680.0              2900.6                42.3               270.0
