Year          Kazakhstan     Kyrgyz_Republic          Tajikistan        Turkmenistan          Uzbekistan
2000              2417.5              9358.7              9653.0               470.5              1254.5
2001              2118.9              8015.8              8792.0               137.6              1289.2
2002              1972.9              7677.3             10175.3               351.8               792.5
2003              1849.9              7960.0             11372.6               354.6              1115.8
2004              1793.3              8224.4             12614.0               472.9              1060.4
2005              1809.1              8004.4             10274.4               423.1              1082.1
2006              1395.7              6082.8              8474.3               363.8              1030.1
2007              1394.2              5837.0              7943.7               429.7               988.3
2008              1546.4              5982.1              7297.3               305.2              1052.9
2009              2579.8             12104.4             13059.8               310.4              1213.3
2010              1741.7              8787.1             13103.6               321.8              1117.1
2011              1767.1              7328.2              7874.3               327.6              1026.7
2012              1470.2              6830.4             11431.6               308.0              1009.8
2013              1820.1              5868.1              8339.1               140.8              1007.6
2014              1356.9              5669.4              9083.1               217.0              1037.4
